experiment,target_url,start_timestamp_sec,requests,concurrency,successful,failed,throughput_rps,dropout_pct,p50_ms,p95_ms,p99_ms,elapsed_sec,write_successful,write_throughput_rps,write_p50_ms,write_p95_ms,write_p99_ms,read_successful,read_throughput_rps,read_p50_ms,read_p95_ms,read_p99_ms
single_write,https://10.1.75.51:5271,1789022189,20000,200,20000,0,353.84,0.00,488.00,796.00,1147.00,56.522,20000,353.84,488.00,796.00,1147.00,0,0.00,0.00,0.00,0.00
single_read,https://10.1.75.51:5271,1789022309,20000,200,20000,0,160.83,0.00,1080.00,1409.00,1577.00,124.358,0,0.00,0.00,0.00,0.00,20000,160.83,1080.00,1409.00,1577.00
single_mixed,https://10.1.75.51:5271,1789022465,20000,200,19571,429,206.30,2.15,673.00,1280.00,3245.00,94.865,15696,165.46,701.00,1275.00,3252.00,3875,40.85,556.00,1318.00,3143.00
lb_write,https://10.1.75.51:5269,1789022593,20000,200,19878,122,445.28,0.61,309.00,901.00,2354.00,44.642,19878,445.28,309.00,901.00,2354.00,0,0.00,0.00,0.00,0.00
lb_read,https://10.1.75.51:5269,1789022658,20000,200,19995,5,327.68,0.03,464.00,1119.00,2032.00,61.021,0,0.00,0.00,0.00,0.00,19995,327.68,464.00,1119.00,2032.00
lb_mixed,https://10.1.75.51:5269,1789022764,20000,200,20000,0,492.55,0.00,326.00,738.00,1710.00,40.605,16029,394.76,343.00,753.00,1772.00,3971,97.80,301.00,704.00,1461.00
lb_mixed,http://127.0.0.1:5000,1789285177,25000,400,967,24033,291.78,96.13,1035.00,1569.00,1856.00,3.314,272,82.07,442.00,1083.00,1158.00,695,209.71,1106.00,1679.00,1860.00
lb_mixed,http://127.0.0.1:5000,1789285342,25000,400,21880,3120,472.83,12.48,787.00,1346.00,1599.00,46.274,17406,376.15,741.00,1221.00,1379.00,4474,96.68,1024.00,1598.00,1827.00
lb_mixed,http://127.0.0.1:5000,1789285410,25000,1000,21020,3980,390.51,15.92,849.00,4249.00,4754.00,53.827,16457,305.74,850.00,4278.00,4754.00,4563,84.77,845.00,4199.00,4753.00
