experiment,target_url,start_timestamp_sec,requests,concurrency,successful,failed,throughput_rps,dropout_pct,p50_ms,p95_ms,p99_ms,elapsed_sec,write_successful,write_throughput_rps,write_p50_ms,write_p95_ms,write_p99_ms,read_successful,read_throughput_rps,read_p50_ms,read_p95_ms,read_p99_ms
experiment,http://127.0.0.1:5000,1789284630,20000,2000,0,20000,0.00,100.00,0.00,0.00,0.00,0.380,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00
experiment,http://127.0.0.1:5000,1789286783,50000,2000,0,50000,0.00,100.00,0.00,0.00,0.00,20.161,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00
lb_mixed,http://127.0.0.1:5000,1789287639,10000,500,0,10000,0.00,100.00,0.00,0.00,0.00,0.235,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00
lb_mixed,http://127.0.0.1:5000,1789290414,10000,500,0,10000,0.00,100.00,0.00,0.00,0.00,0.281,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00
lb_mixed,http://127.0.0.1:5000,1789290551,10000,500,0,10000,0.00,100.00,0.00,0.00,0.00,0.400,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00
